1,練習航海,00:15:00
2,長距離練習航海,00:30:00
3,警備任務,00:20:00
4,対潜警戒任務,00:50:00
5,海上護衛任務,01:30:00
6,防空射撃演習,00:40:00
7,観艦式予行,01:00:00
8,観艦式,03:00:00
9,タンカー護衛任務,04:00:00
10,強行偵察任務,01:30:00
11,ボーキサイト輸送任務,05:00:00
12,資源輸送任務,08:00:00
13,鼠輸送作戦,04:00:00
14,包囲陸戦隊撤収作戦,06:00:00
15,囮機動部隊支援作戦,12:00:00
16,艦隊決戦援護作戦,15:00:00
17,敵地偵察作戦,00:45:00
18,航空機輸送作戦,05:00:00
19,北号作戦,06:00:00
20,潜水艦哨戒任務,02:00:00
21,北方鼠輸送作戦,02:20:00
22,艦隊演習,03:00:00
23,航空戦艦運用演習,04:00:00
25,通商破壊作戦,40:00:00
26,敵母港空襲作戦,80:00:00
27,潜水艦通商破壊作戦,20:00:00
28,西方海域封鎖作戦,25:00:00
29,潜水艦派遣演習,24:00:00
30,潜水艦派遣作戦,48:00:00
31,海外艦との接触,02:00:00
32,遠洋練習航海,24:00:00
33,前衛支援任務,00:15:00
34,艦隊決戦支援任務,00:30:00
35,MO作戦,07:00:00
36,水上機基地建設,09:00:00
37,東京急行,02:45:00
38,東京急行(弐),02:55:00
39,遠洋潜水艦作戦,30:00:00
